Gender,Age,Education,Countries,Races,Race_Other,Emotional_tendency
2,7,4,185,1, ,2
2,7,8,185,1, ,0
2,4,8,187,2, ,2
1,7,6,163,1, ,1
1,4,6,185,1, ,2
1,4,4,187,4, ,4
1,6,4,185,1, ,2
1,6,7,185,1, ,3
1,7,7,126,2, ,2
1,6,4,185,1, ,4
2,6,6,185,1, ,2
1,5,4,185,7,Mixed (White and Asian),1
2,8,7,185,1, ,-4
2,4,8,126,2, ,0
1,8,4,185,1, ,-1
2,4,7,126,2, ,2
2,6,7,185,1, ,-1
2,4,4,185,1, ,0
2,5,7,82,1, ,2
2,6,7,185,7,hispanic latino,3
